wvl	c7101904
1790	0.984626
1791	0.984721
1792	0.984029
1793	0.983163
1794	0.983388
1795	0.983387
1796	0.98184
1797	0.981855
1798	0.98276
1799	0.983466
1800	0.983009
1801	0.981543
1802	0.982448
1803	0.982161
1804	0.980797
1805	0.98235
1806	0.9825
1807	0.980979
1808	0.982344
1809	0.983555
1810	0.982053
1811	0.982293
1812	0.982181
1813	0.980121
1814	0.980116
1815	0.980883
1816	0.979575
1817	0.979774
1818	0.979755
1819	0.981303
1820	0.981066
1821	0.980748
1822	0.979518
1823	0.976768
1824	0.977846
1825	0.977844
1826	0.978077
1827	0.97912
1828	0.979307
1829	0.978846
1830	0.980193
1831	0.980992
1832	0.981308
1833	0.978373
1834	0.977079
1835	0.978494
1836	0.976927
1837	0.975794
1838	0.978967
1839	0.980971
1840	0.981671
1841	0.979204
1842	0.978376
1843	0.977261
1844	0.97532
1845	0.975211
1846	0.975416
1847	0.976793
1848	0.97708
1849	0.975453
1850	0.972314
1851	0.972685
1852	0.973165
1853	0.974456
1854	0.976638
1855	0.975882
1856	0.973404
1857	0.972794
1858	0.973766
1859	0.975022
1860	0.978281
1861	0.97642
1862	0.974326
1863	0.976086
1864	0.97568
1865	0.975122
1866	0.975194
1867	0.974953
1868	0.974199
1869	0.973546
1870	0.973333
1871	0.971374
1872	0.97077
1873	0.969543
1874	0.972015
1875	0.971189
1876	0.970828
1877	0.971693
1878	0.971711
1879	0.972311
1880	0.969052
1881	0.966839
1882	0.968032
1883	0.969119
1884	0.970851
1885	0.971156
1886	0.97181
1887	0.97323
1888	0.973683
1889	0.970199
1890	0.970639
1891	0.972579
1892	0.974783
1893	0.975208
1894	0.973819
1895	0.974698
1896	0.971052
1897	0.96898
1898	0.971564
1899	0.971499
1900	0.972421
1901	0.972431
1902	0.971333
1903	0.971361
1904	0.969685
1905	0.969959
1906	0.972385
1907	0.973295
1908	0.969552
1909	0.968409
1910	0.96791
1911	0.970027
1912	0.970282
1913	0.971079
1914	0.968569
1915	0.968514
1916	0.96844
1917	0.968291
1918	0.975554
1919	0.977206
1920	0.972838
1921	0.973847
1922	0.97524
1923	0.973002
1924	0.971754
1925	0.97001
1926	0.971861
1927	0.972778
1928	0.971634
1929	0.969273
1930	0.968705
1931	0.969013
1932	0.972432
1933	0.971658
1934	0.971217
1935	0.972871
1936	0.970259
1937	0.971433
1938	0.96768
1939	0.966249
1940	0.968825
1941	0.970006
1942	0.970509
1943	0.973097
1944	0.971081
1945	0.969889
1946	0.968077
1947	0.967755
1948	0.969473
1949	0.969037
1950	0.969351
1951	0.968922
1952	0.96931
1953	0.96911
1954	0.966997
1955	0.967551
1956	0.969349
1957	0.970402
1958	0.969024
1959	0.965957
1960	0.964189
1961	0.964579
1962	0.968244
1963	0.966667
1964	0.963971
1965	0.964993
1966	0.965231
1967	0.967112
1968	0.967785
1969	0.96506
1970	0.964135
1971	0.968649
1972	0.969758
1973	0.966057
1974	0.963895
1975	0.965386
1976	0.963578
1977	0.961673
1978	0.962723
1979	0.962402
1980	0.962226
1981	0.963107
1982	0.9632
1983	0.964186
1984	0.961069
1985	0.959973
1986	0.962966
1987	0.963873
1988	0.959784
1989	0.95976
1990	0.959611
1991	0.961702
1992	0.962479
1993	0.95991
1994	0.958406
1995	0.958529
1996	0.960748
1997	0.959761
1998	0.95944
1999	0.959841
2000	0.958907
2001	0.959003
2002	0.959313
2003	0.958113
2004	0.956972
2005	0.956869
2006	0.957542
2007	0.956109
2008	0.9573
2009	0.956975
2010	0.955956
2011	0.955974
2012	0.955943
2013	0.956726
2014	0.955174
2015	0.951583
2016	0.952223
2017	0.954829
2018	0.953644
2019	0.952751
2020	0.954319
2021	0.956034
2022	0.954004
2023	0.95105
2024	0.947637
2025	0.948467
2026	0.950546
2027	0.951021
2028	0.952433
2029	0.952704
2030	0.949463
2031	0.94662
2032	0.944468
2033	0.947946
2034	0.945259
2035	0.942216
2036	0.947656
2037	0.948793
2038	0.947229
2039	0.945578
2040	0.944167
2041	0.948659
2042	0.950876
2043	0.948172
2044	0.942171
2045	0.940328
2046	0.943415
2047	0.941597
2048	0.939919
2049	0.942963
2050	0.947574
2051	0.946789
2052	0.945151
2053	0.947427
2054	0.948925
2055	0.946695
2056	0.943222
2057	0.937739
2058	0.938432
2059	0.941187
2060	0.940793
2061	0.94073
2062	0.939889
2063	0.938212
2064	0.942068
2065	0.944517
2066	0.94683
2067	0.942975
2068	0.936713
2069	0.942071
2070	0.946404
2071	0.937461
2072	0.934082
2073	0.938559
2074	0.941205
2075	0.938583
2076	0.937623
2077	0.939555
2078	0.93953
2079	0.933399
2080	0.933115
2081	0.934223
2082	0.933344
2083	0.933057
2084	0.930163
2085	0.932388
2086	0.937801
2087	0.934492
